username,review_text,rating
sam99,"Setup was confusing—needed more onboarding help. The app is fast though.",3
tina23,"Wish I could connect to Zoom directly from my tasks.",4
alexb,"Great for small teams but gets cluttered as projects grow.",3
vishal_g,"Affordable compared to Asana, but mobile notifications are delayed.",4
sara_q,"Absolutely love the project templates! Made migration easy.",5
timmy_p,"Customer support was slow to respond to a billing issue.",2
luke_02,"Missing a Gantt view—hard to plan big launches.",3
rachel_m,"Integration with Google Drive is buggy.",2
jesska,"App is very intuitive! Would recommend if you don't need advanced reporting.",5
heatherz,"No dark mode yet, which makes late-night work tough.",3
frank_ny,"Time tracking is basic—need more reports for client billing.",3
martha_b,"Recurring tasks would be a huge time-saver!",4
jaywalker,"Super helpful for distributed teams. Wish it had a better mobile app.",4
alina_pop,"Had trouble inviting external partners as guests.",3
sahildev,"Templates are nice but not customizable enough.",4
sharon_t,"Would like to see better onboarding guides for new users.",3
harveyw,"The Kanban view is clean, but cards can’t be color-coded.",4
kate_smith,"Notifications are overwhelming—need more control.",2
raul_p,"Great for simple projects but not complex programs.",3
zane09,"Integration with Slack would improve our workflow.",4
oliverb,"Search is slow with large projects.",2
leona_13,"Love the timeline view, but it's only in the premium plan.",3
danielle_r,"Guest access is too limited for our partners.",2
gregt,"App crashed twice this week—hoping for a fix soon.",2
billie_e,"Customer support chat is friendly and helpful.",5
aliyah_l,"Bulk edit tasks is missing—takes too long to update items.",3
nickelby,"Love the UI! Would prefer a desktop app though.",4
jasminet,"Project archiving is clunky. Hard to find old projects.",3
chadron,"Mobile version is fast but can’t upload attachments.",4
frida_m,"Had to Google how to set recurring meetings.",3
maddie_g,"Wish there was a calendar sync for Outlook.",3
steven_a,"Pricing is fair. Freemium plan helped us get started.",5
lynettek,"No 2FA security. Concerned for privacy.",2
dean_w,"Great for Agile teams—stories and sprints easy to set up.",5
brianna_l,"Can’t assign one task to multiple people.",3
zahir_ahm,"Better reporting dashboards would be awesome.",4
lucy_88,"Saves so much time compared to email updates.",5
paulw,"No API for automation. Looking forward to that.",3
riya_m,"Took a while to learn where everything is.",3
jamesw,"Desktop notifications are delayed.",3
anilb,"Easy to create custom fields for tasks. Love it.",5
sofia23,"Onboarding videos are out of date.",2
bobbyh,"Labels for task priority would help a lot.",4
carlap,"Integrates well with Dropbox.",5
harrist,"Wish I could export charts to PDF.",4
erica_v,"Sometimes lags when multiple users edit.",3
julianh,"Better color themes, please!",3
kiran_p,"Makes team standups efficient.",5
nadia_r,"Reporting export limited to CSV.",3
bruce_w,"Chat function needs threads for clarity.",3
